iter	Passed	Remaining
0	34	34445
1	56	27960
2	82	27377
3	108	27129
4	138	27644
5	175	29149
6	202	28717
7	230	28597
8	265	29226
9	292	28999
10	316	28477
11	340	28050
12	372	28285
13	411	28976
14	445	29252
15	483	29728
16	525	30378
17	563	30741
18	601	31068
19	643	31514
20	678	31620
21	716	31843
22	754	32052
23	790	32132
24	828	32299
25	861	32285
26	895	32279
27	936	32499
28	973	32593
29	1014	32788
30	1048	32769
31	1084	32818
32	1122	32901
33	1158	32905
34	1196	32978
35	1230	32943
36	1266	32950
37	1302	32963
38	1337	32960
39	1372	32937
40	1406	32899
41	1429	32609
42	1459	32479
43	1483	32224
44	1510	32051
45	1529	31726
46	1557	31572
47	1578	31314
48	1607	31206
49	1651	31370
50	1677	31205
51	1701	31015
52	1733	30977
53	1759	30823
54	1793	30822
55	1828	30815
56	1852	30650
57	1874	30443
58	1910	30467
59	1949	30549
60	1993	30689
61	2022	30600
62	2050	30503
63	2084	30481
64	2123	30552
65	2163	30619
66	2201	30653
67	2227	30527
68	2249	30351
69	2283	30334
70	2306	30184
71	2321	29918
72	2342	29749
73	2370	29660
74	2395	29543
75	2422	29451
76	2444	29297
77	2465	29140
78	2490	29032
79	2518	28967
80	2545	28880
81	2572	28793
82	2602	28752
83	2649	28887
84	2690	28957
85	2731	29034
86	2766	29031
87	2802	29048
88	2844	29111
89	2878	29105
90	2917	29142
91	2956	29176
92	2992	29188
93	3030	29211
94	3070	29248
95	3111	29299
96	3148	29306
97	3181	29279
98	3204	29167
99	3240	29161
100	3283	29228
101	3326	29289
102	3366	29313
103	3401	29305
104	3440	29322
105	3487	29410
106	3526	29432
107	3563	29431
108	3609	29506
109	3657	29594
110	3697	29613
111	3734	29608
112	3775	29634
113	3793	29481
114	3819	29393
115	3843	29293
116	3866	29179
117	3897	29130
118	3938	29155
119	3978	29179
120	4014	29163
121	4050	29152
122	4093	29186
123	4122	29121
124	4145	29019
125	4185	29029
126	4222	29028
127	4263	29047
