iter	Passed	Remaining
0	20	19982
1	35	17815
2	55	18543
3	76	19123
4	96	19204
5	117	19422
6	137	19497
7	156	19452
8	179	19763
9	199	19733
10	219	19746
11	240	19790
12	260	19790
13	282	19920
14	303	19920
15	324	19967
16	346	20035
17	365	19964
18	384	19861
19	405	19860
20	423	19750
21	444	19768
22	466	19803
23	482	19609
24	503	19640
25	520	19505
26	542	19539
27	560	19450
28	581	19460
29	602	19485
30	623	19481
31	641	19409
32	662	19406
33	682	19389
34	703	19389
35	724	19394
36	745	19407
37	768	19447
38	792	19521
39	814	19536
40	835	19544
41	857	19561
42	878	19562
43	899	19550
44	922	19588
45	946	19623
46	966	19596
47	984	19525
48	999	19401
49	1018	19360
50	1041	19376
51	1061	19345
52	1082	19348
53	1104	19340
54	1128	19387
55	1145	19316
56	1167	19317
57	1190	19330
58	1210	19313
59	1238	19400
60	1259	19385
61	1280	19367
62	1310	19492
63	1331	19477
64	1355	19492
65	1374	19458
66	1395	19430
67	1412	19363
68	1434	19353
69	1456	19354
70	1480	19371
71	1499	19322
72	1522	19330
73	1542	19300
74	1565	19311
75	1586	19288
76	1606	19262
77	1627	19236
78	1646	19192
79	1668	19188
80	1691	19186
81	1714	19192
82	1734	19166
83	1761	19206
84	1783	19193
85	1803	19165
86	1825	19159
87	1855	19227
88	1882	19273
89	1910	19312
90	1931	19290
91	1955	19300
92	1977	19285
93	1997	19249
94	2032	19361
95	2055	19354
96	2078	19344
97	2106	19388
98	2127	19365
99	2149	19344
100	2172	19335
101	2195	19329
102	2215	19298
103	2237	19276
104	2272	19369
105	2298	19386
106	2321	19373
107	2347	19387
108	2367	19354
109	2387	19318
110	2408	19288
111	2428	19256
112	2458	19296
113	2477	19256
114	2501	19254
115	2524	19237
116	2545	19211
117	2583	19313
118	2612	19341
119	2638	19347
120	2663	19349
121	2686	19336
122	2707	19306
123	2729	19279
124	2752	19266
125	2784	19312
126	2803	19269
127	2826	19256
128	2850	19245
129	2875	19241
130	2916	19347
131	2938	19319
132	2962	19309
133	2990	19328
134	3011	19298
135	3031	19261
136	3056	19251
137	3091	19308
138	3114	19294
139	3138	19277
140	3160	19255
141	3191	19285
142	3213	19255
143	3236	19238
144	3262	19237
145	3288	19234
146	3314	19230
147	3337	19212
148	3358	19179
149	3379	19152
150	3414	19199
151	3439	19189
152	3462	19169
153	3480	19122
154	3509	19131
155	3533	19119
156	3555	19089
157	3585	19107
158	3609	19090
159	3641	19117
160	3673	19143
161	3704	19164
162	3735	19179
163	3751	19125
164	3788	19170
165	3817	19181
166	3839	19152
167	3874	19189
168	3896	19161
169	3922	19148
170	3947	19136
171	3971	19117
172	3989	19072
173	4018	19075
174	4040	19050
175	4062	19017
176	4099	19062
177	4122	19037
